Sorszám;Ut;Azonosito;Kezdo;Veg;Hossz;Tipus;Szorzo;
37;M1;M1u47k975m;47 + 975;56 + 000;7986;gyorsforgalmi;0;
38;M1;M1u56k0m;56 + 000;60 + 800;4803;gyorsforgalmi;0.592;
39;M1;M1u60k800m;60 + 800;64 + 489;3725;gyorsforgalmi;0.352;
40;M1;M1u64k489m;64 + 489;66 + 795;2300;gyorsforgalmi;0.464;
41;M1;M1u66k795m;66 + 795;84 + 945;18154;gyorsforgalmi;0.057;
42;M1;M1u84k945m;84 + 945;93 + 931;8984;gyorsforgalmi;0;
43;M1;M1u93k931m;93 + 931;100 + 533;6570;gyorsforgalmi;0;
44;M1;M1u100k533m;100 + 533;105 + 886;5380;gyorsforgalmi;0;
45;M1;M1u105k886m;105 + 886;111 + 366;5434;gyorsforgalmi;0;
46;M1;M1u111k366m;111 + 366;115 + 043;3638;gyorsforgalmi;0;
47;M1;M1u115k43m;115 + 043;118 + 539;3557;gyorsforgalmi;0;
48;M1;M1u118k539m;118 + 539;122 + 834;4274;gyorsforgalmi;0;
49;M1;M1u122k834m;122 + 834;128 + 980;6174;gyorsforgalmi;0;
50;M1;M1u128k980m;128 + 980;142 + 301;13294;gyorsforgalmi;0.032;
51;M1;M1u142k301m;142 + 301;159 + 145;16847;gyorsforgalmi;0.017;
52;M1;M1u159k145m;159 + 145;165 + 902;6749;gyorsforgalmi;0;
53;M1;M1u165k902m;165 + 902;167 + 597;1700;gyorsforgalmi;0;
54;M1;M1u167k597m;167 + 597;171 + 046;3452;gyorsforgalmi;0.296;
55;M1;M1u171k46m;171 + 046;171 + 1414;1342;gyorsforgalmi;0;
56;M15;M15u0k708m;0 + 708;1 + 938;1553;gyorsforgalmi;0;
57;M15;M15u1k938m;1 + 938;13 + 241;11328;gyorsforgalmi;0.054;
58;M15;M15u13k241m;13 + 241;14 + 504;1239;gyorsforgalmi;0.417;
59;M19;M19u0k0m;0 + 000;5 + 490;6974;gyorsforgalmi;0.158;
60;M19;M19u5k490m;5 + 490;7 + 144;1635;gyorsforgalmi;0.904;
61;M19;M19u7k144m;7 + 144;9 + 682;2618;gyorsforgalmi;0.289;
62;M2;M2u17k300m;17 + 300;20 + 801;3557;gyorsforgalmi;0.121;
63;M2;M2u20k801m;20 + 801;22 + 703;1949;gyorsforgalmi;1;
64;M2;M2u22k703m;22 + 703;24 + 922;2123;gyorsforgalmi;0.376;
65;M2;M2u24k922m;24 + 922;28 + 496;3514;gyorsforgalmi;0;
66;M2;M2u28k496m;28 + 496;34 + 343;5898;gyorsforgalmi;0.215;
67;M2;M2u34k343m;34 + 343;36 + 227;1885;gyorsforgalmi;0.304;
68;M2;M2u36k227m;36 + 227;38 + 820;2569;gyorsforgalmi;0;
69;M2;M2u38k820m;38 + 820;42 + 309;3442;gyorsforgalmi;0.234;
70;M2;M2u42k309m;42 + 309;47 + 448;5216;gyorsforgalmi;0.321;
71;M2;M2u47k448m;47 + 448;48 + 011;618;gyorsforgalmi;0;
72;M25;M25u0k868m;0 + 868;7 + 404;6543;gyorsforgalmi;0;
73;M25;M25u7k404m;7 + 404;10 + 096;2688;gyorsforgalmi;0.055;
74;M25;M25u10k96m;10 + 096;14 + 997;4899;gyorsforgalmi;0.591;
75;M25;M25u14k997m;14 + 997;18 + 568;3594;gyorsforgalmi;0;
76;M3;M3u12k078m;12 + 078;12 + 940;904;gyorsforgalmi;0;
77;M3;M3u12k940m;12 + 940;19 + 133;6201;gyorsforgalmi;0.49;
78;M3;M3u19k133m;19 + 133;22 + 445;3311;gyorsforgalmi;1;
79;M3;M3u22k445m;22 + 445;26 + 375;3935;gyorsforgalmi;0.125;
80;M3;M3u26k375m;26 + 375;39 + 092;12655;gyorsforgalmi;0.236;
81;M3;M3u39k92m;39 + 092;50 + 821;11707;gyorsforgalmi;0.216;
82;M3;M3u50k821m;50 + 821;54 + 551;3797;gyorsforgalmi;0.092;
83;M3;M3u54k551m;54 + 551;58 + 559;4006;gyorsforgalmi;0;
84;M3;M3u58k559m;58 + 559;69 + 928;11378;gyorsforgalmi;0.097;
85;M3;M3u69k928m;69 + 928;77 + 851;8006;gyorsforgalmi;0.128;
86;M3;M3u77k851m;77 + 851;89 + 435;11527;gyorsforgalmi;0;
87;M3;M3u89k435m;89 + 435;103 + 209;13799;gyorsforgalmi;0;
88;M3;M3u103k209m;103 + 209;107 + 929;4666;gyorsforgalmi;0;
89;M3;M3u107k929m;107 + 929;113 + 355;5423;gyorsforgalmi;0;
90;M3;M3u113k355m;113 + 355;127 + 649;14389;gyorsforgalmi;0.081;
91;M3;M3u127k649m;127 + 649;138 + 127;10467;gyorsforgalmi;0;
92;M3;M3u138k127m;138 + 127;150 + 523;12309;gyorsforgalmi;0.014;
93;M3;M3u150k523m;150 + 523;155 + 770;5150;gyorsforgalmi;0;
94;M3;M3u155k770m;155 + 770;164 + 242;8410;gyorsforgalmi;0;
95;M3;M3u164k242m;164 + 242;174 + 981;10984;gyorsforgalmi;0.006;
96;M3;M3u174k981m;174 + 981;186 + 000;10923;gyorsforgalmi;0;
97;M3;M3u186k0m;186 + 000;202 + 825;16919;gyorsforgalmi;0;
98;M3;M3u202k825m;202 + 825;220 + 920;17992;gyorsforgalmi;0;
99;M3;M3u220k920m;220 + 920;226 + 544;5623;gyorsforgalmi;0.025;
100;M3;M3u226k544m;226 + 544;233 + 690;7145;gyorsforgalmi;0.123;
101;M3;M3u233k690m;233 + 690;234 + 883;1197;gyorsforgalmi;0;
102;M3;M3u234k883m;234 + 883;253 + 882;18996;gyorsforgalmi;0;
103;M3;M3u253k882m;253 + 882;267 + 078;13197;gyorsforgalmi;0;
104;M3;M3u267k078m;267 + 078;279 + 823;12751;gyorsforgalmi;0;
105;M30;M30u1k550m;1 + 550;5 + 683;4577;gyorsforgalmi;0;
106;M30;M30u5k683m;5 + 683;13 + 511;7836;gyorsforgalmi;0.156;
107;M30;M30u13k511m;13 + 511;20 + 899;7385;gyorsforgalmi;0;
108;M30;M30u20k899m;20 + 899;23 + 390;2497;gyorsforgalmi;0;
109;M30;M30u23k390m;23 + 390;29 + 450;6057;gyorsforgalmi;0.102;
110;M30;M30u29k450m;29 + 450;32 + 50;2680;gyorsforgalmi;0;
111;M30;M30u32k50m;32 + 50;39 + 838;7786;gyorsforgalmi;0.026;
112;M30;M30u39k838m;39 + 838;50 + 412;10578;gyorsforgalmi;0.12;
113;M30;M30u50k412m;50 + 412;63 + 327;12912;gyorsforgalmi;0.268;
114;M30;M30u63k327m;63 + 327;74 + 933;11603;gyorsforgalmi;0.285;
115;M30;M30u74k933m;74 + 933;80 + 505;5676;gyorsforgalmi;0;
116;M30;M30u80k505m;80 + 505;87 + 682;7077;gyorsforgalmi;0.261;
117;M30;M30u87k682m;87 + 682;88 + 551;863;gyorsforgalmi;0.209;
118;M31;M31u0k0m;0 + 000;8 + 605;9388;gyorsforgalmi;0.066;
119;M31;M31u8k605m;8 + 605;12 + 398;3443;gyorsforgalmi;0;
120;M35;M35u0k550m;0 + 550;14 + 041;13563;gyorsforgalmi;0;
121;M35;M35u14k41m;14 + 041;24 + 082;10047;gyorsforgalmi;0;
122;M35;M35u24k82m;24 + 082;33 + 192;9031;gyorsforgalmi;0;
123;M35;M35u33k192m;33 + 192;35 + 1658;3463;gyorsforgalmi;0;
124;M35;M35u35k1658m;35 + 1658;38 + 085;1434;gyorsforgalmi;0.366;
125;M35;M35u38k85m;38 + 085;39 + 700;1619;gyorsforgalmi;0;
126;130;M35;M35u43k866m;43 + 866;48 + 562;4696;gyorsforgalmi;0
127;133;M4;M4u19k550m;19 + 550;20 + 518;955;gyorsforgalmi;0
128;154;M43;M43u0k800m;0 + 800;3 + 174;3315;gyorsforgalmi;0
129;164;M44;M44u0k390m;0 + 390;11 + 847;11326;gyorsforgalmi;0,829
130;174;M5;M5u13k0m;13 + 000;13 + 635;641;gyorsforgalmi;0,617
131;M5;M5u35k618m;35 + 618;43 + 504;7880;gyorsforgalmi;0.157;0
132;M5;M5u43k504m;43 + 504;52 + 685;9183;gyorsforgalmi;0.066;0,2
133;M5;M5u52k685m;52 + 685;67 + 265;14580;gyorsforgalmi;0.026;0,07
134;M5;M5u67k265m;67 + 265;73 + 698;6433;gyorsforgalmi;0.005;0
135;M5;M5u73k698m;73 + 698;80 + 159;6461;gyorsforgalmi;0;0
136;M5;M5u80k159m;80 + 159;85 + 405;5240;gyorsforgalmi;0.787;0,013
137;M5;M5u85k405m;85 + 405;90 + 433;5028;gyorsforgalmi;0.152;0,483
138;M5;M5u90k433m;90 + 433;108 + 241;17814;gyorsforgalmi;0.04;0,162
139;M5;M5u108k241m;108 + 241;113 + 794;5555;gyorsforgalmi;0;0
140;M5;M5u113k794m;113 + 794;129 + 430;15635;gyorsforgalmi;0;0
141;M5;M5u129k430m;129 + 430;139 + 065;9637;gyorsforgalmi;0;0
142;M5;M5u139k65m;139 + 065;146 + 596;7529;gyorsforgalmi;0;0
143;M5;M5u146k596m;146 + 596;159 + 275;12675;gyorsforgalmi;0.028;0
144;M5;M5u159k275m;159 + 275;165 + 504;6236;gyorsforgalmi;0;0
145;M5;M5u165k504m;165 + 504;172 + 464;7005;gyorsforgalmi;0;0,107
146;M5;M5u172k464m;172 + 464;173 + 896;1390;gyorsforgalmi;0;0
147;M51;M51u25k0m;25 + 000;28 + 607;3599;gyorsforgalmi;0.179;0
148;M6;M6u14k148m;14 + 148;17 + 081;2949;gyorsforgalmi;0.302;0
149;M6;M6u17k81m;17 + 081;19 + 231;2158;gyorsforgalmi;0.544;0
150;M6;M6u19k231m;19 + 231;21 + 626;2382;gyorsforgalmi;0.814;0
151;M6;M6u21k626m;21 + 626;24 + 287;2852;gyorsforgalmi;0;0
152;M6;M6u24k287m;24 + 287;28 + 350;4096;gyorsforgalmi;0;0
153;M6;M6u28k350m;28 + 350;33 + 642;5309;gyorsforgalmi;0.204;0
154;M6;M6u33k642m;33 + 642;43 + 607;9909;gyorsforgalmi;0;0
155;M6;M6u43k607m;43 + 607;49 + 253;5584;gyorsforgalmi;0;0
156;M6;M6u49k253m;49 + 253;54 + 478;5333;gyorsforgalmi;0;0
157;M6;M6u54k478m;54 + 478;61 + 456;6904;gyorsforgalmi;0;0
158;M6;M6u61k456m;61 + 456;66 + 691;5273;gyorsforgalmi;0;0
159;M6;M6u66k691m;66 + 691;69 + 713;3013;gyorsforgalmi;0;0
160;M6;M6u69k713m;69 + 713;74 + 754;5039;gyorsforgalmi;0;0
161;M6;M6u74k754m;74 + 754;82 + 503;7719;gyorsforgalmi;0;0
162;M6;M6u82k503m;82 + 503;86 + 026;3558;gyorsforgalmi;0;0
163;M6;M6u86k26m;86 + 026;97 + 225;11275;gyorsforgalmi;0;0
164;M6;M6u97k225m;97 + 225;105 + 349;8036;gyorsforgalmi;0;0,14
165;M6;M6u105k349m;105 + 349;113 + 395;8055;gyorsforgalmi;0.012;0
166;M6;M6u113k395m;113 + 395;123 + 139;9736;gyorsforgalmi;0;0
167;M6;M6u123k139m;123 + 139;130 + 642;7505;gyorsforgalmi;0;0
168;M6;M6u130k642m;130 + 642;137 + 576;6901;gyorsforgalmi;0;0
169;M6;M6u137k576m;137 + 576;141 + 737;4211;gyorsforgalmi;0;0
170;M6;M6u141k737m;141 + 737;146 + 288;4534;gyorsforgalmi;0;0,337
171;M6;M6u146k288m;146 + 288;150 + 689;4487;gyorsforgalmi;0.256;0
172;M6;M6u150k689m;150 + 689;162 + 073;11378;gyorsforgalmi;0;0,451
173;M6;M6u162k73m;162 + 073;172 + 493;10392;gyorsforgalmi;0;0,164
174;M6;M6u172k493m;172 + 493;190 + 77;17541;gyorsforgalmi;0.057;0
175;M6;M6u190k77m;190 + 77;191 + 430;1356;gyorsforgalmi;0;0
176;M6;M6u191k430m;191 + 430;194 + 490;3060;gyorsforgalmi;0;
177;M6;M6u194k490m;194 + 490;204 + 83;9591;gyorsforgalmi;0;
178;M6;M6u204k83m;204 + 83;207 + 984;3900;gyorsforgalmi;0.023;
179;M6;M6u207k984m;207 + 984;210 + 413;2429;gyorsforgalmi;0;
180;M60;M60u0k0m;0 + 000;6 + 132;6083;gyorsforgalmi;0;
181;M60;M60u25k232m;25 + 232;29 + 324;4139;gyorsforgalmi;0.246;
182;M60;M60u29k324m;29 + 324;30 + 868;1638;gyorsforgalmi;0;
183;M7;M7u7k681m;7 + 681;9 + 254;1529;gyorsforgalmi;1;
184;M7;M7u9k254m;9 + 254;10 + 312;1071;gyorsforgalmi;1;
185;M7;M7u10k312m;10 + 312;12 + 646;2073;gyorsforgalmi;0.623;
186;M7;M7u12k646m;12 + 646;13 + 557;1121;gyorsforgalmi;1;
187;M7;M7u13k557m;13 + 557;15 + 501;1946;gyorsforgalmi;0.734;
188;M7;M7u15k501m;15 + 501;17 + 631;2107;gyorsforgalmi;0.806;
189;M7;M7u17k631m;17 + 631;23 + 000;5385;gyorsforgalmi;0.674;
190;M7;M7u23k0m;23 + 000;30 + 148;7139;gyorsforgalmi;0;
191;M7;M7u30k148m;30 + 148;33 + 852;3700;gyorsforgalmi;0.053;
192;M7;M7u33k852m;33 + 852;41 + 600;7767;gyorsforgalmi;0;
193;M7;M7u41k600m;41 + 600;44 + 594;2955;gyorsforgalmi;0.502;
194;M7;M7u44k594m;44 + 594;50 + 331;5735;gyorsforgalmi;0.398;
195;M7;M7u50k331m;50 + 331;56 + 334;6038;gyorsforgalmi;0.258;
196;M7;M7u56k334m;56 + 334;59 + 117;2720;gyorsforgalmi;0;
197;M7;M7u59k117m;59 + 117;63 + 678;4634;gyorsforgalmi;0.029;
198;M7;M7u63k678m;63 + 678;69 + 886;6194;gyorsforgalmi;0.195;
199;M7;M7u69k886m;69 + 886;79 + 964;10092;gyorsforgalmi;0.051;
200;M7;M7u79k964m;79 + 964;89 + 086;9047;gyorsforgalmi;0;
201;M7;M7u89k86m;89 + 086;90 + 000;914;gyorsforgalmi;0;
202;M7;M7u90k0m;90 + 000;97 + 743;7801;gyorsforgalmi;0.088;
203;M7;M7u97k743m;97 + 743;105 + 048;7364;gyorsforgalmi;0.301;
204;M7;M7u105k48m;105 + 048;111 + 696;6577;gyorsforgalmi;0.227;
205;M7;M7u111k696m;111 + 696;114 + 239;2562;gyorsforgalmi;0;
206;M7;M7u114k239m;114 + 239;120 + 259;6014;gyorsforgalmi;0.057;
207;M7;M7u120k259m;120 + 259;125 + 192;4922;gyorsforgalmi;0;
208;M7;M7u125k192m;125 + 192;129 + 104;3988;gyorsforgalmi;0;
209;M7;M7u129k104m;129 + 104;134 + 185;5074;gyorsforgalmi;0;
210;M7;M7u134k185m;134 + 185;142 + 341;8161;gyorsforgalmi;0.251;
211;M7;M7u142k341m;142 + 341;145 + 157;2885;gyorsforgalmi;0.06;
212;M7;M7u145k157m;145 + 157;150 + 048;4876;gyorsforgalmi;0.17;
213;M7;M7u150k48m;150 + 048;159 + 868;9754;gyorsforgalmi;0;
214;M7;M7u159k868m;159 + 868;170 + 142;10268;gyorsforgalmi;0.017;
215;M7;M7u170k142m;170 + 142;174 + 741;4601;gyorsforgalmi;0;
216;M7;M7u174k741m;174 + 741;182 + 865;8062;gyorsforgalmi;0.051;
217;M7;M7u182k865m;182 + 865;190 + 223;7420;gyorsforgalmi;0;
218;M7;M7u190k223m;190 + 223;206 + 050;15838;gyorsforgalmi;0;
219;M7;M7u206k50m;206 + 050;210 + 511;4445;gyorsforgalmi;0.23;
220;M7;M7u210k511m;210 + 511;218 + 467;7911;gyorsforgalmi;0.032;
221;M7;M7u218k467m;218 + 467;224 + 082;5646;gyorsforgalmi;0.103;
222;M7;M7u224k82m;224 + 082;231 + 617;7540;gyorsforgalmi;0;
223;M7;M7u231k617m;231 + 617;234 + 272;2642;gyorsforgalmi;0;
224;M70;M70u0k200m;0 + 200;2 + 356;2147;gyorsforgalmi;0;
225;M70;M70u2k356m;2 + 356;10 + 380;7980;gyorsforgalmi;0;
226;M70;M70u10k380m;10 + 380;18 + 156;7824;gyorsforgalmi;0;
227;M70;M70u18k156m;18 + 156;21 + 264;3107;gyorsforgalmi;0.194;
228;M76;M76u0k0m;0 + 000;2 + 754;2732;gyorsforgalmi;0;
229;M76;M76u2k754m;2 + 754;4 + 447;1693;gyorsforgalmi;0.606;
230;M76;M76u4k447m;4 + 447;8 + 363;3915;gyorsforgalmi;0.181;
231;M8;M8u77k853m;77 + 853;82 + 591;4777;gyorsforgalmi;0.214;
232;M80;M80u162k0m;162 + 000;165 + 730;4010;gyorsforgalmi;0.414;
233;M80;M80u165k730m;165 + 730;171 + 158;5190;gyorsforgalmi;0.259;
234;M80;M80u171k180m;171 + 158;181 + 674;10756;gyorsforgalmi;0.003;
235;M80;M80u181k674m;181 + 674;188 + 663;6981;gyorsforgalmi;0;
236;M80;M80u188k663m;188 + 663;190 + 116;1456;gyorsforgalmi;0;
237;M85;M85u0k0m;0 + 000;7 + 300;7370;gyorsforgalmi;0;
238;M85;M85u7k300m;7 + 300;9 + 965;2672;gyorsforgalmi;0.315;
239;M85;M85u9k965m;9 + 965;16 + 100;6239;gyorsforgalmi;0.601;
240;M85;M85u16k100m;16 + 100;20 + 600;4403;gyorsforgalmi;0.18;
241;M85;M85u20k600m;20 + 600;22 + 500;2063;gyorsforgalmi;0;
242;M85;M85u22k500m;22 + 500;26 + 800;4415;gyorsforgalmi;0;
243;M85;M85u26k800m;26 + 800;31 + 389;5132;gyorsforgalmi;0.012;
244;M85;M85u31k389m;31 + 389;43 + 303;11912;gyorsforgalmi;0.154;
245;M85;M85u43k303m;43 + 303;52 + 374;9071;gyorsforgalmi;0.225;
246;M85;M85u52k374m;52 + 374;59 + 785;7417;gyorsforgalmi;0;
247;M85;M85u59k785m;59 + 785;71 + 657;11870;gyorsforgalmi;0;
248;M85;M85u71k657m;71 + 657;81 + 917;10260;gyorsforgalmi;0.349;
249;M85;M85u81k917m;81 + 917;84 + 623;2708;gyorsforgalmi;0;
250;M85;M85u84k623m;84 + 623;88 + 216;3587;gyorsforgalmi;0;
251;M85;M85u88k216m;88 + 216;91 + 482;3268;gyorsforgalmi;0;
252;M85;M85u91k482m;91 + 482;93 + 60;1584;gyorsforgalmi;0;
253;M86;M86u80k950m;80 + 950;85 + 872;4917;gyorsforgalmi;0.214;
254;M86;M86u85k872m;85 + 872;93 + 270;7426;gyorsforgalmi;0;
255;M86;M86u93k270m;93 + 270;96 + 768;3494;gyorsforgalmi;0;
256;M86;M86u96k768m;96 + 768;105 + 000;8219;gyorsforgalmi;0.124;
257;M86;M86u105k0m;105 + 000;115 + 610;10617;gyorsforgalmi;0.021;
258;M86;M86u115k610m;115 + 610;123 + 550;7943;gyorsforgalmi;0.112;
259;M86;M86u123k550m;123 + 550;132 + 705;9150;gyorsforgalmi;0;
260;M86;M86u132k705m;132 + 705;139 + 422;6631;gyorsforgalmi;0;
261;M86;M86u139k422m;139 + 422;142 + 324;2902;gyorsforgalmi;0;
262;M86;M86u147k0m;147 + 000;149 + 600;2675;gyorsforgalmi;0;
263;M9;M9u0k0m;0 + 000;0 + 390;431;gyorsforgalmi;0;
264;M9;M9u0k390m;0 + 390;3 + 421;2931;gyorsforgalmi;0.188;
265;M9;M9u3k421m;3 + 421;7 + 533;4169;gyorsforgalmi;0;
266;M9;M9u7k533m;7 + 533;20 + 539;12947;gyorsforgalmi;0;
267;1;1u7k976m;7 + 976;8 + 753;754;főúti;0.967;
268;1;1u8k753m;8 + 753;9 + 410;660;főúti;0;
269;1;1u9k410m;9 + 410;10 + 325;868;főúti;0;
270;1;1u10k325m;10 + 325;10 + 795;292;főúti;0;
271;1;1u10k795m;10 + 795;12 + 063;1249;főúti;0;
272;1;1u12k63m;12 + 063;12 + 987;951;főúti;0;
273;1;1u12k987m;12 + 987;13 + 805;833;főúti;0;
274;1;1u13k805m;13 + 805;16 + 673;2895;főúti;0.466;
275;1;1u16k673m;16 + 673;20 + 902;4249;főúti;0;
276;1;1u20k902m;20 + 902;26 + 619;5718;főúti;0.11;
277;1;1u26k619m;26 + 619;29 + 214;2580;főúti;0;
278;1;1u29k214m;29 + 214;31 + 379;2158;főúti;0.482;
279;1;1u31k379m;31 + 379;33 + 470;2115;főúti;0.472;
280;1;1u33k470m;33 + 470;35 + 159;1699;főúti;0;
281;1;1u35k820m;35 + 820;41 + 149;5333;főúti;0.057;
282;1;1u41k149m;41 + 149;44 + 654;3458;főúti;0.225;
283;1;1u44k654m;44 + 654;44 + 764;103;főúti;0;
284;1;1u44k764m;44 + 764;47 + 315;2605;főúti;0;
285;1;1u47k315m;47 + 315;47 + 434;118;főúti;0;
286;1;1u49k283m;49 + 283;50 + 921;1640;főúti;1;
287;1;1u50k921m;50 + 921;51 + 820;897;főúti;0.085;
288;1;1u51k820m;51 + 820;56 + 793;4955;főúti;0.836;
289;1;1u57k946m;57 + 946;58 + 680;736;főúti;0;
290;1;1u60k383m;60 + 383;62 + 290;1896;főúti;0.161;
291;1;1u67k136m;67 + 136;67 + 779;638;főúti;0.629;
292;1;1u67k779m;67 + 779;70 + 390;2585;főúti;0;
293;1;1u70k390m;70 + 390;74 + 415;4038;főúti;0;
294;1;1u74k415m;74 + 415;74 + 612;197;főúti;0;
295;1;1u76k721m;76 + 721;80 + 154;3426;főúti;0.294;
296;1;1u89k195m;89 + 195;90 + 205;1002;főúti;0;
297;1;1u90k205m;90 + 205;93 + 567;3357;főúti;0;
298;1;1u93k567m;93 + 567;96 + 944;3362;főúti;0.669;
299;1;1u96k944m;96 + 944;108 + 177;11425;főúti;0.017;
300;1;1u108k177m;108 + 177;108 + 349;172;főúti;1;
301;1;1u110k517m;110 + 517;111 + 630;1149;főúti;0.475;
302;1;1u111k630m;111 + 630;113 + 137;1502;főúti;0;
303;1;1u113k137m;113 + 137;115 + 179;2024;főúti;0;
304;1;1u115k179m;115 + 179;119 + 074;3874;főúti;0.137;
305;1;1u119k74m;119 + 074;121 + 423;2394;főúti;0.812;
306;1;1u121k423m;121 + 423;122 + 240;814;főúti;1;
307;1;1u128k170m;128 + 170;129 + 928;1788;főúti;0;
308;1;1u129k928m;129 + 928;131 + 085;1217;főúti;0;
309;1;1u131k85m;131 + 085;132 + 732;1608;főúti;0.402;
310;1;1u135k402m;135 + 402;137 + 749;2356;főúti;0.345;
311;1;1u140k219m;140 + 219;145 + 159;4937;főúti;0.031;
312;1;1u145k159m;145 + 159;146 + 914;1755;főúti;0;
313;1;1u146k914m;146 + 914;148 + 103;1189;főúti;0;
314;1;1u148k103m;148 + 103;152 + 928;4824;főúti;0.117;
315;1;1u152k928m;152 + 928;153 + 171;244;főúti;1;
316;1;1u153k171m;153 + 171;159 + 216;6055;főúti;0.049;
317;1;1u165k111m;165 + 111;165 + 779;667;főúti;0;
318;1;1u165k779m;165 + 779;168 + 039;2289;főúti;0;
319;1;1u169k354m;169 + 354;171 + 047;1694;főúti;0;
320;1;1u171k47m;171 + 047;172 + 091;1040;főúti;0.518;
321;1;1u174k620m;174 + 620;176 + 492;1850;főúti;0.034;
322;1;1u176k492m;176 + 492;177 + 031;521;főúti;0;
323;2;2u14k774m;14 + 774;16 + 652;1836;főúti;0.066;
324;2;2u16k652m;16 + 652;17 + 001;379;főúti;0.96;
325;2;2u20k569m;20 + 569;21 + 554;978;főúti;0.615;
326;2;2u21k625m;21 + 625;21 + 939;446;főúti;0;
327;2;2u27k45m;27 + 045;27 + 334;289;főúti;1;
328;2;2u29k208m;29 + 208;31 + 632;2424;főúti;0.015;
329;2;2u37k300m;37 + 300;39 + 659;2360;főúti;0.512;
330;2;2u39k659m;39 + 659;40 + 162;518;főúti;0;
331;2;2u43k394m;43 + 394;43 + 615;221;főúti;1;
332;2;2u44k340m;44 + 340;45 + 090;734;főúti;0.999;
333;2;2u46k70m;46 + 070;48 + 654;2581;főúti;0.144;
334;2;2u48k654m;48 + 654;48 + 961;310;főúti;0;
335;2;2u48k961m;48 + 961;52 + 524;3553;főúti;0;
336;2;2u52k524m;52 + 524;53 + 580;1072;főúti;0;
337;2;2u53k580m;53 + 580;53 + 777;181;főúti;0;
338;2;2u53k777m;53 + 777;54 + 195;429;főúti;0;
339;2;2u56k10m;56 + 010;57 + 200;1162;főúti;0.933;
340;2;2u57k200m;57 + 200;61 + 390;4101;főúti;0.074;
341;2;2u62k550m;62 + 550;64 + 070;1694;főúti;0.074;
342;2;2u66k980m;66 + 980;72 + 090;5108;főúti;0.181;
343;2;2u72k90m;72 + 090;73 + 270;1173;főúti;0.71;
344;2;2u73k270m;73 + 270;75 + 151;1882;főúti;0.07;
345;2;2u75k151m;75 + 151;77 + 256;1890;főúti;1;
346;2;2u77k256m;77 + 256;78 + 583;1643;főúti;0.139;
